timestamp,elapsed_s,temp_c,humidity
2026-02-17T14:10:35.773976,380,21.9,22.0
2026-02-17T14:10:46.047761,390,21.8,22.0
2026-02-17T14:10:56.321370,400,21.9,22.0
2026-02-17T14:11:06.594922,410,21.9,22.0
2026-02-17T14:11:16.869636,420,21.9,22.0
2026-02-17T14:11:27.143091,430,21.9,22.0
2026-02-17T14:11:37.417258,440,21.9,22.0
2026-02-17T14:11:47.690803,450,22.0,22.0
2026-02-17T14:11:57.964497,460,22.0,22.0
2026-02-17T14:12:08.238065,470,22.0,22.0
2026-02-17T14:12:18.511588,480,22.0,22.0
2026-02-17T14:12:28.786078,490,22.0,22.0
2026-02-17T14:12:39.061864,500,22.0,22.0
2026-02-17T14:14:42.344327,620,22.0,22.0
2026-02-17T14:14:52.620269,630,22.0,22.0
2026-02-17T14:15:02.894760,640,27.6,70.0
2026-02-17T14:15:13.169252,650,25.2,77.0
2026-02-17T14:15:23.443263,660,23.9,80.0
2026-02-17T14:15:33.716710,670,23.1,83.0
2026-02-17T14:15:43.990792,680,22.7,77.0
2026-02-17T14:15:54.264755,690,22.3,69.0
2026-02-17T14:16:04.539412,700,22.1,64.0
2026-02-17T14:16:14.813212,710,22.0,59.0
2026-02-17T14:16:25.086982,720,21.9,54.0
2026-02-17T14:16:35.360532,730,22.3,53.0
2026-02-17T14:16:45.634556,740,23.2,56.0
2026-02-17T14:16:55.908354,750,23.1,46.0
2026-02-17T14:17:06.182161,760,23.0,38.0
2026-02-17T14:17:16.456637,770,22.9,33.0
2026-02-17T14:17:26.730490,780,22.8,30.0
2026-02-17T14:17:37.004240,790,22.7,27.0
2026-02-17T14:19:40.286679,910,22.1,23.0
2026-02-17T14:19:50.560484,920,22.1,22.0
2026-02-17T14:20:00.834620,930,22.1,22.0
2026-02-17T14:20:11.108787,940,22.1,22.0
2026-02-17T14:20:21.382817,950,22.0,22.0
