timestamp,elapsed_s,temp_c,humidity,dew_point,dew_margin,temp_volatility,rh_volatility,excursion,risk_score,risk_dosage
2026-02-17T13:52:32.053725,450,21.7,24.0,0.2424666891997777,21.457533310800223,0.0,0.0,0,0.04660367925406737,0.04660367925406737
2026-02-17T13:52:42.327284,460,21.7,24.0,0.2424666891997777,21.457533310800223,0.0,0.0,0,0.04660367925406737,0.09320735850813475
2026-02-17T13:52:52.600829,470,21.7,24.0,0.2424666891997777,21.457533310800223,0.0,0.0,0,0.04660367925406737,0.1398110377622021
2026-02-17T13:53:02.874295,480,21.7,24.0,0.2424666891997777,21.457533310800223,0.0,0.0,0,0.04660367925406737,0.1864147170162695
2026-02-17T13:53:13.149104,490,21.7,24.0,0.2424666891997777,21.457533310800223,0.0,0.0,0,0.04660367925406737,0.23301839627033688
2026-02-17T13:53:23.422848,500,21.7,24.0,0.2424666891997777,21.457533310800223,0.0,0.0,0,0.04660367925406737,0.27962207552440427
2026-02-17T13:53:33.696703,510,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.40824829046386274,0,0.045365742994559706,0.32498781851896397
2026-02-17T13:53:43.970184,520,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.5163977794943212,0,0.045365742994559706,0.37035356151352367
2026-02-17T13:53:54.243783,530,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.5477225575051646,0,0.045365742994559706,0.41571930450808336
2026-02-17T13:54:04.517499,540,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.5163977794943203,0,0.045365742994559706,0.46108504750264306
2026-02-17T13:54:14.791166,550,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.4082482904638601,0,0.045365742994559706,0.5064507904972028
2026-02-17T13:54:25.065473,560,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.5518165334917625
2026-02-17T13:54:35.339127,570,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.5971822764863223
2026-02-17T13:54:45.612693,580,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.642548019480882
2026-02-17T13:54:55.886396,590,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.6879137624754418
2026-02-17T13:55:06.160035,600,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.7332795054700015
2026-02-17T13:55:16.433747,610,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.7786452484645613
2026-02-17T13:55:26.707394,620,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.824010991459121
2026-02-17T13:55:36.981588,630,21.7,23.0,-0.34306452381747277,22.04306452381747,0.0,0.0,0,0.045365742994559706,0.8693767344536808
